pair_id,label,score
0,1,0.666417
1,1,0.829112
2,1,0.781022
3,1,0.745434
4,1,0.718543
5,1,0.649725
6,1,0.687674
7,1,0.518860
8,1,-0.031054
9,1,0.792144
10,1,0.699697
11,1,0.500687
12,1,0.797746
13,1,0.701380
14,1,0.673106
15,1,0.589621
16,1,0.866748
17,1,0.623106
18,1,0.694504
19,1,0.691817
20,1,0.522892
21,1,0.687433
22,1,0.669203
23,1,0.659822
24,1,0.588017
25,1,0.572474
26,1,0.617987
27,1,0.524088
28,1,0.607520
29,1,0.640248
30,1,0.539927
31,1,0.716689
32,1,0.529628
33,1,0.769551
34,1,0.665025
35,1,0.695030
36,1,0.539941
37,1,0.564194
38,1,0.699406
39,1,0.607274
40,1,0.589802
41,1,0.594795
42,1,0.791558
43,1,0.681123
44,1,0.512051
45,1,0.617080
46,1,0.527305
47,1,0.371341
48,1,0.720366
49,1,0.705065
50,1,0.411981
51,1,0.633301
52,1,0.626181
53,1,0.470113
54,1,0.677782
55,1,0.754453
56,1,0.683942
57,1,0.859206
58,1,0.559285
59,1,0.539501
60,1,0.825954
61,1,0.635456
62,1,0.666984
63,1,0.665069
64,1,0.721298
65,1,0.698100
66,1,0.602026
67,1,0.726704
68,1,0.631924
69,1,0.567455
70,1,0.537381
71,1,0.844712
72,1,0.546273
73,1,0.784774
74,1,0.628141
75,1,0.828072
76,1,0.696629
77,1,0.711255
78,1,0.575196
79,1,0.534871
80,1,0.701311
81,1,0.647026
82,1,0.822892
83,1,0.793498
84,1,0.739503
85,1,0.725031
86,1,0.630982
87,1,0.675529
88,1,0.629596
89,1,0.540893
90,1,0.675385
91,1,0.631801
92,1,0.550331
93,1,0.642631
94,1,0.616691
95,1,0.727321
96,1,0.718598
97,1,0.673337
98,1,0.064547
99,1,0.841113
100,1,0.647025
101,1,0.733939
102,1,0.761597
103,1,0.733419
104,1,0.652700
105,1,0.643086
106,1,0.619794
107,1,0.725339
108,1,0.685532
109,1,0.763375
110,1,0.615554
111,1,0.725256
112,1,0.142389
113,1,-0.091982
114,1,0.735670
115,1,0.535963
116,1,0.679156
117,1,0.613200
118,1,0.732409
119,1,0.670392
120,1,0.578533
121,1,0.620876
122,1,0.498824
123,1,0.570530
124,1,0.668674
125,1,0.660748
126,1,0.576524
127,1,0.103180
128,1,0.754510
129,1,0.740483
130,1,0.680808
131,1,0.524483
132,1,0.483820
133,1,0.780918
134,1,0.657316
135,1,0.666265
136,1,0.632924
137,1,0.700777
138,1,0.765173
139,1,0.730756
140,1,0.855720
141,1,0.658286
142,1,0.718681
143,1,0.734896
144,1,0.620846
145,1,0.563038
146,1,0.775535
147,1,0.506292
148,1,0.624464
149,1,0.700105
150,1,0.388659
151,1,0.567510
152,1,0.537142
153,1,0.758966
154,1,0.580131
155,1,0.749866
156,1,0.500913
157,1,0.718631
158,1,0.627736
159,1,0.734756
160,1,0.671775
161,1,0.871195
162,1,0.706614
163,1,0.645077
164,1,0.812257
165,1,0.860805
166,1,0.738191
167,1,0.682889
168,1,0.494231
169,1,0.565627
170,1,0.543102
171,1,0.469479
172,1,0.698016
173,1,0.656680
174,1,0.681186
175,1,0.732902
176,1,0.782954
177,1,0.611233
178,1,0.645600
179,1,0.546677
180,1,0.518365
181,1,0.384093
182,1,0.637714
183,1,0.699609
184,1,0.404597
185,1,0.154260
186,1,0.795927
187,1,0.530825
188,1,0.729391
189,1,0.488612
190,1,0.650729
191,1,0.644312
192,1,0.593816
193,1,0.107850
194,1,0.115285
195,1,0.644068
196,1,0.675509
197,1,0.812746
198,1,0.783715
199,1,0.702032
200,1,0.690805
201,1,0.171472
202,1,0.517271
203,1,0.540984
204,1,0.070925
205,1,0.639703
206,1,0.559771
207,1,0.465015
208,1,0.694776
209,1,0.479459
210,1,0.624161
211,1,0.757964
212,1,0.744702
213,1,0.582345
214,1,0.573520
215,1,0.723122
216,1,-0.124694
217,1,0.697449
218,1,0.697920
219,1,0.751736
220,1,0.729419
221,1,0.041149
222,1,0.016061
223,1,0.592320
224,1,0.567827
225,1,0.776519
226,1,0.685176
227,1,0.778502
228,1,0.752223
229,1,0.689844
230,1,0.614787
231,1,0.651320
232,1,0.783583
233,1,0.701951
234,1,-0.067345
235,1,0.759086
236,1,0.451776
237,1,0.131062
238,1,0.520662
239,1,0.660152
240,1,0.465331
241,1,0.729171
242,1,0.469877
243,1,0.601562
244,1,0.749427
245,1,0.050525
246,1,0.077421
247,1,0.800815
248,1,0.657989
249,1,0.696504
250,1,0.602185
251,1,0.569050
252,1,0.637246
253,1,0.576208
254,1,0.552301
255,1,0.625580
256,1,0.452907
257,1,0.644116
258,1,0.631468
259,1,0.640514
260,1,0.653792
261,1,-0.017235
262,1,0.542584
263,1,0.607856
264,1,0.613716
265,1,0.734411
266,1,0.744559
267,1,0.691496
268,1,0.082883
269,1,0.685082
270,1,0.632641
271,1,0.682762
272,1,0.660568
273,1,0.021289
274,1,0.697688
275,1,0.754426
276,1,0.524558
277,1,0.653414
278,1,0.664859
279,1,0.606527
280,1,0.695762
281,1,0.733140
282,1,0.768427
283,1,0.654756
284,1,0.660682
285,1,0.805497
286,1,0.778789
287,1,0.788637
288,1,0.671277
289,1,0.760938
290,1,0.606684
291,1,0.564078
292,1,0.752938
293,1,0.570817
294,1,0.909772
295,1,-0.045299
296,1,0.691298
297,1,0.399893
298,1,0.791160
299,1,0.772818
300,0,0.034770
301,0,-0.014804
302,0,-0.115356
303,0,-0.008531
304,0,0.051457
305,0,-0.073603
306,0,0.049091
307,0,-0.142247
308,0,-0.021908
309,0,0.100763
310,0,-0.081958
311,0,-0.035559
312,0,0.089825
313,0,-0.063963
314,0,-0.114289
315,0,0.029672
316,0,-0.106697
317,0,0.097184
318,0,0.019671
319,0,-0.097186
320,0,0.104657
321,0,0.006234
322,0,-0.002602
323,0,0.116203
324,0,-0.106079
325,0,-0.003987
326,0,0.036140
327,0,-0.037277
328,0,-0.022955
329,0,0.036869
330,0,-0.064120
331,0,-0.006221
332,0,-0.014734
333,0,-0.044416
334,0,-0.009168
335,0,0.005739
336,0,-0.069837
