Frame,Similaridade
1,0.493650
2,0.487952
3,0.478976
4,0.453549
5,0.404390
6,0.395184
7,0.400849
8,0.362961
9,0.311781
10,0.191309
11,0.188235
12,0.149566
13,0.160340
14,0.077409
15,0.088315
16,0.076426
17,0.073630
18,0.058703
19,0.038744
20,0.044990
21,0.071418
22,0.011916
23,0.008870
24,0.018216
25,0.003535
26,0.009652
27,0.015562
28,0.007637
29,-0.004440
30,-0.007943
31,0.008642
32,0.008848
33,0.010638
34,0.015906
35,0.071814
36,0.068663
37,0.067398
38,0.054624
39,0.096246
40,0.054886
41,0.015182
42,0.014709
43,0.057833
44,0.064989
45,0.110418
46,0.248677
47,0.344131
48,0.397772
49,0.441868
50,0.405249
51,0.538980
52,0.526456
53,0.506844
54,0.492408
55,0.513904
56,0.529169
57,0.546069
58,0.541945
59,0.539537
60,0.538484
61,0.494460
62,0.480788
63,0.487250
64,0.553510
65,0.577282
66,0.579619
67,0.613135
68,0.589685
69,0.614063
70,0.615801
71,0.617694
72,0.620102
73,0.642651
74,0.626765
75,0.621070
76,0.583479
77,0.561320
78,0.544525
79,0.541324
80,0.533593
81,0.503797
82,0.054568
83,0.088689
84,0.037504
85,0.065145
86,0.059958
87,0.057661
88,0.093802
89,0.066097
90,0.044805
91,0.056306
92,0.001010
93,0.005565
94,0.015046
95,0.001824
96,0.033399
97,0.058057
98,0.070274
99,0.053777
100,0.057621
101,0.023762
102,0.032108
103,0.518672
104,0.533478
105,0.552204
106,0.564226
107,0.585346
108,0.609151
109,0.657122
110,0.663684
111,0.666833
112,0.660814
113,0.667826
114,0.646639
115,0.646026
116,0.627983
117,0.651452
118,0.651455
119,0.656362
120,0.641712
121,0.638844
122,0.642696
123,0.639338
124,0.630470
125,0.611773
126,0.550338
127,0.446972
128,0.417762
129,0.320428
130,0.167119
131,0.034691
132,0.012528
133,0.018700
134,0.062086
135,0.084016
136,0.123183
137,0.124193
138,0.148068
139,0.112909
140,0.096249
141,0.108850
142,0.102008
143,0.111927
144,0.106777
145,0.103171
146,0.110926
147,0.109105
148,0.103834
149,0.113714
150,0.117428
151,0.121107
152,0.108770
153,0.115165
154,0.128793
155,0.128528
156,0.127563
157,0.135425
158,0.140112
159,0.129459
160,0.131241
161,0.136415
162,0.140690
163,0.141810
164,0.146154
165,0.137296
166,0.114989
167,0.067099
168,0.027249
169,-0.009584
170,0.008273
171,0.121836
172,0.257479
173,0.385050
174,0.396810
175,0.500530
176,0.552386
177,0.529679
178,0.547276
179,0.527665
180,0.523138
181,0.541220
182,0.548611
183,0.554443
184,0.560422
185,0.578507
186,0.564093
187,0.590432
188,0.592104
189,0.570356
190,0.578978
191,0.562814
192,0.560390
193,0.545538
194,0.518629
195,0.526440
196,0.472320
197,0.298611
198,0.122367
199,0.079505
200,0.060200
201,0.059003
202,0.065170
203,0.065132
204,0.074884
205,0.111359
206,0.133623
207,0.063802
208,0.173668
209,0.165487
210,0.172495
211,0.171653
212,0.152876
213,0.157986
214,0.155756
215,0.148418
216,0.152994
217,0.153170
218,0.138422
219,0.142594
220,0.126041
221,0.154238
222,0.134793
223,0.142258
224,0.125933
225,0.132701
226,0.142845
227,0.150095
228,0.140215
229,0.156931
230,0.161801
231,0.164190
232,0.140058
233,0.165429
234,0.136461
235,0.133132
236,0.088526
237,0.057392
238,0.062643
239,0.087687
240,0.114501
241,0.105651
242,0.098028
243,0.248637
244,0.345342
245,0.429322
246,0.513880
247,0.546186
248,0.534974
249,0.560057
250,0.558320
251,0.597987
252,0.592992
253,0.584056
254,0.591826
255,0.584383
256,0.588298
257,0.575723
258,0.588130
259,0.577960
260,0.574434
261,0.573624
262,0.579478
