LOG DE RESULTADOS POR FRAME
============================================================
Frame | Sim. Cosseno | Posição X | Posição Y | Área Relativa
------------------------------------------------------------
0002  | 0.9856       | 0.5130    | 0.4653    | 0.1372
0003  | 0.9589       | 0.5139    | 0.4634    | 0.1358
0004  | 0.8942       | 0.5165    | 0.4609    | 0.1302
0005  | 0.8414       | 0.5174    | 0.4551    | 0.1280
0006  | 0.6897       | 0.5156    | 0.4487    | 0.1250
0007  | 0.5604       | 0.5148    | 0.4399    | 0.1213
0008  | 0.4600       | 0.5156    | 0.4312    | 0.1158
0009  | 0.2388       | 0.5148    | 0.4272    | 0.1114
0010  | 0.2043       | 0.5139    | 0.4219    | 0.1035
0011  | 0.1707       | 0.5148    | 0.4180    | 0.0991
0012  | 0.1674       | 0.5139    | 0.4121    | 0.0942
0013  | 0.1435       | 0.5148    | 0.4102    | 0.0907
0014  | 0.1096       | 0.5165    | 0.4087    | 0.0858
0015  | 0.1105       | 0.5174    | 0.4062    | 0.0813
0016  | 0.0987       | 0.5174    | 0.4043    | 0.0769
0017  | 0.0927       | 0.5191    | 0.4043    | 0.0740
0018  | 0.0418       | 0.5191    | 0.4043    | 0.0719
0019  | -0.0066       | 0.5200    | 0.4043    | 0.0695
0020  | -0.0209       | 0.5200    | 0.4053    | 0.0687
0021  | -0.0391       | 0.5208    | 0.4058    | 0.0667
0022  | -0.0835       | 0.5208    | 0.4062    | 0.0643
0023  | -0.0651       | 0.5208    | 0.4067    | 0.0625
0024  | -0.0616       | 0.5217    | 0.4077    | 0.0615
0025  | -0.0552       | 0.5217    | 0.4077    | 0.0608
0026  | -0.0559       | 0.5217    | 0.4077    | 0.0601
0027  | -0.0592       | 0.5226    | 0.4077    | 0.0598
0028  | -0.0515       | 0.5226    | 0.4082    | 0.0596
0029  | -0.0468       | 0.5226    | 0.4077    | 0.0592
0030  | -0.0468       | 0.5226    | 0.4082    | 0.0596
0031  | -0.0553       | 0.5226    | 0.4087    | 0.0606
0032  | -0.0446       | 0.5226    | 0.4102    | 0.0610
0033  | -0.0484       | 0.5226    | 0.4102    | 0.0610
0034  | -0.0446       | 0.5234    | 0.4106    | 0.0616
0035  | -0.0376       | 0.5226    | 0.4121    | 0.0629
0036  | -0.0394       | 0.5234    | 0.4131    | 0.0646
0037  | -0.0184       | 0.5243    | 0.4160    | 0.0664
0038  | -0.0119       | 0.5243    | 0.4189    | 0.0692
0039  | 0.0173       | 0.5252    | 0.4194    | 0.0712
0040  | 0.0397       | 0.5243    | 0.4219    | 0.0748
0041  | 0.0904       | 0.5234    | 0.4258    | 0.0794
0042  | 0.1050       | 0.5226    | 0.4297    | 0.0849
0043  | 0.1221       | 0.5217    | 0.4326    | 0.0890
0044  | 0.1738       | 0.5217    | 0.4375    | 0.0928
0045  | 0.2491       | 0.5217    | 0.4438    | 0.0985
0046  | 0.3562       | 0.5208    | 0.4478    | 0.1012
0047  | 0.5814       | 0.5200    | 0.4536    | 0.1102
0048  | 0.5986       | 0.5191    | 0.4609    | 0.1127
0049  | 0.6194       | 0.5200    | 0.4658    | 0.1122
0050  | 0.5995       | 0.5191    | 0.4741    | 0.1153
0051  | 0.6201       | 0.5182    | 0.4785    | 0.1144
0052  | 0.7205       | 0.5174    | 0.4810    | 0.1202
0053  | 0.7200       | 0.5174    | 0.4863    | 0.1157
0054  | 0.7175       | 0.5174    | 0.4912    | 0.1165
0055  | 0.7711       | 0.5165    | 0.4946    | 0.1215
0056  | 0.8126       | 0.5156    | 0.4971    | 0.1206
0057  | 0.7615       | 0.5139    | 0.5015    | 0.1179
0058  | 0.7899       | 0.5139    | 0.5034    | 0.1187
0059  | 0.8421       | 0.5156    | 0.5024    | 0.1194
0060  | 0.8331       | 0.5165    | 0.5044    | 0.1182
0061  | 0.8249       | 0.5156    | 0.5063    | 0.1169
0062  | 0.8305       | 0.5165    | 0.5103    | 0.1182
0063  | 0.8353       | 0.5165    | 0.5151    | 0.1189
0064  | 0.8578       | 0.5165    | 0.5190    | 0.1215
0065  | 0.8484       | 0.5174    | 0.5264    | 0.1198
0066  | 0.8430       | 0.5174    | 0.5371    | 0.1191
0067  | 0.7931       | 0.5174    | 0.5439    | 0.1193
0068  | 0.7695       | 0.5182    | 0.5566    | 0.1134
0069  | 0.6999       | 0.5191    | 0.5640    | 0.1133
0070  | 0.6703       | 0.5200    | 0.5737    | 0.1107
0071  | 0.6493       | 0.5191    | 0.5825    | 0.1104
0072  | 0.6722       | 0.5182    | 0.5913    | 0.1094
0073  | 0.6309       | 0.5191    | 0.6011    | 0.1058
0074  | 0.6266       | 0.5182    | 0.6084    | 0.1059
0075  | 0.5715       | 0.5191    | 0.6167    | 0.1059
0076  | 0.4503       | 0.5200    | 0.6294    | 0.0976
0077  | 0.3907       | 0.5191    | 0.6357    | 0.0968
0078  | 0.3520       | 0.5226    | 0.6445    | 0.0952
0079  | 0.3627       | 0.5226    | 0.6548    | 0.0981
0080  | 0.3140       | 0.5226    | 0.6636    | 0.0948
0081  | 0.3036       | 0.5234    | 0.6680    | 0.0924
0082  | 0.2348       | 0.5234    | 0.6719    | 0.0851
0083  | 0.2422       | 0.5226    | 0.6689    | 0.0854
0084  | 0.2384       | 0.5208    | 0.6768    | 0.0837
0085  | 0.1876       | 0.5200    | 0.6826    | 0.0816
0086  | 0.1616       | 0.5182    | 0.6855    | 0.0798
0087  | 0.1965       | 0.5200    | 0.7002    | 0.0914
0088  | 0.2320       | 0.5191    | 0.6978    | 0.0947
0089  | 0.1747       | 0.5208    | 0.7070    | 0.0918
0090  | 0.1452       | 0.5208    | 0.7153    | 0.0889
0091  | 0.1275       | 0.5208    | 0.7095    | 0.0805
0092  | 0.1603       | 0.5191    | 0.7188    | 0.0868
0093  | 0.1230       | 0.5165    | 0.7217    | 0.0896
0094  | 0.1292       | 0.5165    | 0.7222    | 0.0900
0095  | 0.1360       | 0.5156    | 0.7178    | 0.0875
0096  | 0.1315       | 0.5122    | 0.7202    | 0.0920
0097  | 0.1203       | 0.5095    | 0.7119    | 0.0901
0098  | 0.1404       | 0.5095    | 0.7119    | 0.0920
0099  | 0.1695       | 0.5061    | 0.7104    | 0.0950
0100  | 0.1847       | 0.5061    | 0.7095    | 0.0984
0101  | 0.1794       | 0.5035    | 0.7046    | 0.0956
0102  | 0.1837       | 0.5035    | 0.6958    | 0.1005
0103  | 0.2524       | 0.5035    | 0.6855    | 0.1018
0104  | 0.3093       | 0.5061    | 0.6899    | 0.1117
