frame_id,mode,file,face_detected,similarity,match_030,match_035,match_040,match_045,match_050,match_055,match_060
5,ATAQUE,frame_000005_ATAQUE.jpg,1,0.505152,1,1,1,1,1,0,0
10,ATAQUE,frame_000010_ATAQUE.jpg,1,0.526649,1,1,1,1,1,0,0
15,ATAQUE,frame_000015_ATAQUE.jpg,1,0.602979,1,1,1,1,1,1,1
20,ATAQUE,frame_000020_ATAQUE.jpg,1,0.609926,1,1,1,1,1,1,1
25,ATAQUE,frame_000025_ATAQUE.jpg,1,0.657257,1,1,1,1,1,1,1
30,ATAQUE,frame_000030_ATAQUE.jpg,1,0.615750,1,1,1,1,1,1,1
35,ATAQUE,frame_000035_ATAQUE.jpg,1,0.625320,1,1,1,1,1,1,1
40,ATAQUE,frame_000040_ATAQUE.jpg,1,0.607790,1,1,1,1,1,1,1
45,ATAQUE,frame_000045_ATAQUE.jpg,1,0.559407,1,1,1,1,1,1,0
50,ATAQUE,frame_000050_ATAQUE.jpg,1,0.450525,1,1,1,1,0,0,0
55,ATAQUE,frame_000055_ATAQUE.jpg,1,0.473581,1,1,1,1,0,0,0
60,ATAQUE,frame_000060_ATAQUE.jpg,1,0.607626,1,1,1,1,1,1,1
65,ATAQUE,frame_000065_ATAQUE.jpg,1,0.588901,1,1,1,1,1,1,0
70,ATAQUE,frame_000070_ATAQUE.jpg,1,0.487549,1,1,1,1,0,0,0
75,ATAQUE,frame_000075_ATAQUE.jpg,1,0.405928,1,1,1,0,0,0,0
80,ATAQUE,frame_000080_ATAQUE.jpg,1,0.353255,1,1,0,0,0,0,0
85,ATAQUE,frame_000085_ATAQUE.jpg,1,0.266487,0,0,0,0,0,0,0
90,ATAQUE,frame_000090_ATAQUE.jpg,1,0.281454,0,0,0,0,0,0,0
95,ATAQUE,frame_000095_ATAQUE.jpg,1,0.341141,1,0,0,0,0,0,0
100,ATAQUE,frame_000100_ATAQUE.jpg,1,0.491390,1,1,1,1,0,0,0
105,ATAQUE,frame_000105_ATAQUE.jpg,1,0.453032,1,1,1,1,0,0,0
110,ATAQUE,frame_000110_ATAQUE.jpg,1,0.139092,0,0,0,0,0,0,0
115,ATAQUE,frame_000115_ATAQUE.jpg,1,0.134374,0,0,0,0,0,0,0
120,ATAQUE,frame_000120_ATAQUE.jpg,1,0.325867,1,0,0,0,0,0,0
