frame,mode,similarity,match_045,match_060,elapsed_s,fps,frame_saved
1,ATAQUE,0.000000,0,0,0.93,0.0,0
2,ATAQUE,0.000000,0,0,1.10,0.0,0
3,ATAQUE,0.000000,0,0,1.17,0.0,0
4,ATAQUE,0.000000,0,0,1.26,0.0,0
5,ATAQUE,0.000000,0,0,1.61,0.0,1
6,ATAQUE,0.000000,0,0,1.67,0.0,0
7,ATAQUE,0.000000,0,0,1.73,0.0,0
8,ATAQUE,0.000000,0,0,1.79,0.0,0
9,ATAQUE,0.000000,0,0,1.85,0.0,0
10,ATAQUE,0.000000,0,0,1.91,5.2,1
11,ATAQUE,0.000000,0,0,1.96,5.2,0
12,ATAQUE,0.000000,0,0,2.01,5.2,0
13,ATAQUE,0.000000,0,0,2.06,5.2,0
14,ATAQUE,0.000000,0,0,2.12,5.2,0
15,ATAQUE,0.000000,0,0,2.17,5.2,1
16,ATAQUE,0.000000,0,0,2.23,5.2,0
17,ATAQUE,0.000000,0,0,2.28,5.2,0
18,ATAQUE,0.000000,0,0,2.33,5.2,0
19,ATAQUE,0.000000,0,0,2.38,5.2,0
20,ATAQUE,0.000000,0,0,2.43,19.0,1
21,ATAQUE,0.000000,0,0,2.48,19.0,0
22,ATAQUE,0.000000,0,0,2.54,19.0,0
23,ATAQUE,0.000000,0,0,2.59,19.0,0
24,ATAQUE,0.000000,0,0,2.65,19.0,0
25,ATAQUE,0.000000,0,0,2.70,19.0,1
26,ATAQUE,0.000000,0,0,2.76,19.0,0
27,ATAQUE,0.000000,0,0,2.81,19.0,0
28,ATAQUE,0.000000,0,0,2.86,19.0,0
29,ATAQUE,0.000000,0,0,2.92,19.0,0
30,ATAQUE,0.000000,0,0,2.97,18.7,1
31,ATAQUE,0.000000,0,0,2.99,18.7,0
32,ATAQUE,0.000000,0,0,3.05,18.7,0
33,ATAQUE,0.000000,0,0,3.10,18.7,0
34,ATAQUE,0.000000,0,0,3.12,18.7,0
35,ATAQUE,0.000000,0,0,3.17,18.7,1
36,ATAQUE,0.000000,0,0,3.23,18.7,0
37,ATAQUE,0.000000,0,0,3.28,18.7,0
38,ATAQUE,0.000000,0,0,3.33,18.7,0
39,ATAQUE,0.000000,0,0,3.39,18.7,0
40,ATAQUE,0.000000,0,0,3.44,21.2,1
41,ATAQUE,0.000000,0,0,3.49,21.2,0
42,ATAQUE,0.000000,0,0,3.54,21.2,0
43,ATAQUE,0.000000,0,0,3.59,21.2,0
44,ATAQUE,0.000000,0,0,3.65,21.2,0
45,ATAQUE,0.000000,0,0,3.70,21.2,1
46,ATAQUE,0.000000,0,0,3.75,21.2,0
47,ATAQUE,0.000000,0,0,3.80,21.2,0
48,ATAQUE,0.000000,0,0,3.85,21.2,0
49,ATAQUE,0.000000,0,0,3.90,21.2,0
50,ATAQUE,0.000000,0,0,3.93,20.5,1
51,ATAQUE,0.000000,0,0,3.98,20.5,0
52,ATAQUE,0.000000,0,0,4.03,20.5,0
53,ATAQUE,0.000000,0,0,4.08,20.5,0
54,ATAQUE,0.000000,0,0,4.14,20.5,0
55,ATAQUE,0.000000,0,0,4.19,20.5,1
56,ATAQUE,0.000000,0,0,4.25,20.5,0
57,ATAQUE,0.000000,0,0,4.30,20.5,0
58,ATAQUE,0.000000,0,0,4.35,20.5,0
59,ATAQUE,0.000000,0,0,4.40,20.5,0
60,ATAQUE,0.000000,0,0,4.45,19.1,1
61,ATAQUE,0.000000,0,0,4.50,19.1,0
