pair_id,label,score
0,1,0.307257
1,1,0.479881
2,1,0.254111
3,1,0.310077
4,0,0.099051
5,1,0.416220
6,1,0.323723
7,0,0.152882
8,0,0.211395
9,1,0.556572
10,1,0.333039
11,1,0.627924
12,1,0.311464
13,0,-0.004661
14,1,0.711782
15,0,0.261638
16,0,0.061332
17,0,0.142392
18,1,0.263105
19,0,0.056443
20,1,0.174396
21,1,0.545698
22,1,0.299495
23,0,0.356535
24,1,0.343704
25,0,0.056302
26,0,0.038613
27,1,0.364083
28,1,0.395164
29,0,0.169958
30,0,0.132165
31,1,0.224593
32,0,-0.012007
33,1,0.540364
34,1,0.384555
35,1,0.297570
36,1,0.195541
37,1,0.471040
38,1,0.260250
39,1,0.322880
40,0,0.249956
41,1,0.354746
42,0,0.096258
43,0,0.086347
44,0,0.083209
45,0,0.180619
46,0,0.185298
47,0,0.173134
48,0,0.358512
49,1,0.210432
50,1,0.075444
51,1,0.438133
52,0,0.138861
53,0,0.204492
54,0,0.337260
55,0,0.234981
56,1,0.111687
57,0,0.392365
58,0,0.235445
59,0,0.066136
60,0,0.030009
61,0,0.268263
62,0,0.213274
63,1,0.476785
64,1,0.107779
65,1,0.407484
66,1,0.357557
67,1,0.325351
68,0,0.047318
69,0,0.091855
70,0,0.188101
71,1,0.418697
72,1,0.317712
73,1,0.410513
74,1,0.431622
75,1,0.395584
76,0,0.342357
77,1,0.349298
78,0,0.145586
79,1,0.250705
80,0,0.214330
81,0,0.133288
82,0,0.321782
83,1,0.180856
84,1,0.412133
85,0,0.245721
86,1,0.423766
87,0,0.214536
88,1,0.525640
89,1,0.384826
90,0,0.361264
91,1,0.134649
92,0,0.302586
93,0,0.207054
94,1,0.383523
95,1,0.345250
96,1,0.387864
97,1,0.345733
98,0,0.247343
99,0,0.279854
100,1,0.210380
101,1,0.396892
102,1,0.569235
103,1,0.298936
104,1,0.518770
105,0,0.226043
106,0,0.249767
107,0,0.250689
108,1,0.391523
109,0,0.259930
110,0,0.262645
111,1,0.283021
112,0,0.276317
113,0,0.221058
114,1,0.370576
115,0,0.175136
116,1,0.580053
117,1,0.354479
118,0,0.233124
119,1,0.381815
120,1,0.245418
121,0,0.196902
122,1,0.466048
123,1,0.726490
124,1,0.474521
125,1,0.326218
126,1,0.569803
127,0,0.091115
128,0,0.136513
129,0,0.109931
130,1,0.383305
131,1,0.385978
132,0,0.136347
133,0,0.200409
134,1,0.258455
135,0,0.201005
136,1,0.369624
137,0,0.258096
138,0,-0.012024
139,1,-0.004564
140,1,0.333660
141,0,0.203144
142,1,0.595830
143,1,0.290767
144,0,0.068648
145,0,0.099499
146,1,0.542509
147,0,0.416134
148,1,0.275902
149,1,0.225435
150,0,0.322308
151,0,-0.041250
152,1,0.483642
153,1,0.297142
154,1,0.319624
155,0,0.260514
156,1,0.390085
157,0,0.329165
158,1,0.269619
159,1,0.355676
160,1,0.280440
161,0,0.210400
162,1,0.223489
163,0,0.163832
164,1,0.246919
165,0,0.363922
166,1,0.319138
167,1,0.328316
168,1,0.511481
169,1,0.545867
170,1,0.061340
171,0,0.113652
172,0,0.264088
173,1,0.283997
174,1,0.361939
175,0,0.134102
176,0,0.125587
177,1,0.263819
178,1,0.239730
179,0,0.266734
180,0,0.081441
181,1,0.289558
182,0,0.129545
183,1,0.299453
184,1,0.349298
185,0,0.214872
186,0,0.212879
187,1,0.283021
188,0,0.335336
189,0,0.275950
190,0,0.097684
191,1,0.507976
192,1,0.382603
193,1,0.323703
194,1,0.327099
195,0,0.181889
196,0,0.176951
197,0,0.157078
198,0,0.059650
199,0,0.135369
200,1,0.488297
201,0,0.141606
202,1,0.225732
203,0,0.026427
204,0,0.211953
205,0,0.098971
206,0,0.243815
207,0,0.171937
208,1,0.267440
209,1,0.362444
210,1,0.599273
211,0,0.177774
212,0,0.248393
213,0,0.154838
214,1,0.075444
215,1,0.545771
216,1,0.319685
217,1,0.529079
218,1,0.262675
219,0,0.135842
220,1,0.237771
221,1,0.353252
222,1,0.479868
223,1,0.313642
224,1,0.204517
225,0,0.158228
226,1,0.314975
227,0,0.327132
228,1,0.265696
229,1,0.654264
230,1,0.134869
231,0,0.099818
232,0,0.128363
233,1,0.403140
234,1,0.322082
235,1,0.203948
236,1,0.229773
237,0,0.277689
238,0,0.275705
239,1,0.421156
240,0,0.063146
241,0,0.274245
242,0,0.167275
243,0,0.280810
244,0,0.142586
245,0,0.387176
246,1,0.383523
247,0,0.150547
248,1,0.453307
249,0,0.410032
250,0,0.182107
251,1,0.276375
252,1,0.352218
253,0,0.312728
254,1,0.277440
255,0,-0.031113
256,1,0.541485
257,0,0.108813
258,0,0.004453
259,0,0.191010
260,0,-0.030891
261,1,0.314984
262,0,0.173776
263,0,0.084621
264,1,0.366523
265,1,0.321381
266,1,0.354151
267,1,0.544401
268,0,0.113880
269,0,0.126610
270,0,0.214810
271,1,0.326334
272,1,0.350652
273,1,0.395385
274,0,0.181331
275,1,0.557525
276,1,0.202249
277,1,0.360037
278,0,0.151767
279,1,0.141606
280,0,0.114621
281,0,0.276350
282,1,0.347628
283,0,0.267652
284,1,0.277487
285,1,0.495918
286,0,0.348636
287,1,0.296421
288,1,0.496962
289,0,0.129078
290,0,0.164383
291,1,0.459790
292,0,0.174152
293,1,0.096944
294,0,0.350810
295,1,0.329698
296,0,0.173869
297,0,0.063990
298,1,0.308377
299,0,0.290490
300,0,0.189305
301,0,0.165413
302,1,0.395949
303,0,0.107816
304,1,0.402910
305,0,0.325384
306,1,0.665190
307,1,0.605575
308,1,0.375302
309,1,0.353360
310,0,0.130711
311,0,0.276884
312,0,0.322847
313,1,0.412133
314,1,0.300562
315,1,0.372200
316,1,0.247715
317,1,0.643134
318,0,0.067250
319,0,0.174305
320,1,0.376852
321,0,0.065488
322,0,0.172286
323,1,0.294535
324,1,0.250105
325,0,0.168243
326,1,0.293376
327,0,0.200726
328,1,0.383894
329,1,0.287989
330,1,0.262675
331,0,0.096468
332,1,0.496092
333,0,0.268550
334,0,0.055867
335,1,0.563484
336,1,0.136485
337,1,0.232238
338,1,0.486693
339,1,0.433220
340,0,0.132260
341,0,0.105164
342,0,0.227527
343,0,0.159740
344,1,0.384555
345,1,0.269383
346,1,0.383894
347,0,0.072946
348,0,0.199497
349,1,0.143911
350,0,0.125138
351,0,0.378672
352,0,0.103177
353,0,0.285117
354,0,0.365242
355,0,0.354015
356,1,0.107941
357,1,0.352498
358,1,0.462074
359,0,0.362335
360,0,0.320464
361,1,0.332525
362,1,0.296421
363,0,0.154418
364,0,0.252049
365,0,0.220783
366,0,0.196461
367,0,0.079183
368,0,0.131794
369,1,0.229904
370,1,0.464153
371,1,0.338517
372,1,0.600942
373,0,0.411948
374,0,0.335883
375,1,0.302800
376,1,0.382603
377,1,0.108928
378,0,0.207407
379,1,0.464963
380,0,0.225974
381,0,0.131676
382,1,0.209372
383,0,0.274659
384,0,0.037559
385,1,0.257063
386,0,0.119770
387,1,0.433220
388,0,0.182133
389,1,0.281854
390,1,0.416003
391,0,0.133066
392,1,0.480614
393,1,0.210432
394,1,0.494431
395,1,0.488297
396,1,0.644872
397,1,0.338517
398,1,0.291531
399,0,0.101645
400,1,0.305657
401,0,0.281791
402,1,0.485881
403,0,0.061218
