attack_id,source_name,source_vid,target_name,target_vid,similarity,n_swap_frames,fooled_045,fooled_060
0,Renato_Soru,2,Candice_Bergen,5,0.419486,5,0,0
1,Elizabeth_Shue,0,Eddie_Lewis,0,0.095827,5,0,0
2,Sarah_Michelle_Gellar,4,Vince_Gill,0,0.163583,5,0,0
3,Alejandro_Gonzalez_Inarritu,0,Alberto_Ruiz_Gallardon,0,0.195039,5,0,0
4,Eileen_Coparropa,1,Mark_Dacey,3,0.200774,5,0,0
5,Cristina_Saralegui,5,Todd_Robbins,4,0.621042,5,1,1
6,Earl_Scruggs,4,Leticia_Dolera,0,0.408028,5,0,0
7,William_Rehnquist,0,Chris_Klein,0,0.538558,5,1,0
8,Eve_Ensler,2,Chris_Bell,2,0.572548,5,1,0
9,Bill_Cartwright,2,Ben_Stein,1,0.502236,5,1,0
10,Ivan_Stambolic,2,Hashim_Thaci,0,0.340009,5,0,0
11,Vadim_Devyatovskiy,2,Lindsey_Graham,3,0.362539,5,0,0
12,Anjum_Hussain,2,Oleg_Romantsev,3,0.303421,5,0,0
13,Paul_Celluci,0,Connie_Chung,2,0.279583,5,0,0
14,Roger_Mahony,5,Edward_Albee,2,0.443193,5,0,0
15,Eileen_Coparropa,1,Biljana_Plavsic,1,0.383812,5,0,0
16,Liane_Janda,4,Ray_Nagin,0,0.160176,5,0,0
17,Jalal_Talabani,3,Isabella_Rossellini,2,0.524264,5,1,0
18,Thomas_Manger,4,Takeshi_Kitano,5,0.364898,5,0,0
19,Nestor_Kirchner,4,Vaclav_Klaus,1,0.481455,5,1,0
20,Lisa_Leslie,5,James_Meeks,2,0.528279,5,1,0
21,Taylor_Twellman,4,Ornella_Muti,2,0.512542,5,1,0
22,Yogi_Berra,1,Zhang_Ziyi,1,0.029517,4,0,0
23,Alejandro_Gonzalez_Inarritu,2,Gavin_Degraw,3,0.427842,5,0,0
24,Andres_Pastrana,3,Danny_Glover,1,0.543480,5,1,0
25,Robert_Schuller,3,Marina_Silva,5,0.455420,5,1,0
26,Charley_Armey,1,Eric_Vigouroux,4,0.395356,5,0,0
27,Vladimiro_Montesinos,3,Owen_Wilson,5,0.334616,5,0,0
28,Paul_Newman,2,Kathy_Gannon,3,0.263097,5,0,0
29,Chakib_Khelil,4,Marquier_Montano_Contreras,0,0.597262,5,1,0
30,William_Ford_Jr,0,Ali_Khamenei,1,0.528380,5,1,0
31,Rachel_Hunter,5,Chris_Matthews,5,0.281070,5,0,0
32,Perry_Farrell,2,Andrea_De_Cruz,4,0.170500,5,0,0
33,Peri_Gilpin,2,Loretta_Lynn_Harper,0,0.625753,5,1,1
34,Taha_Yassin_Ramadan,0,Tom_Hanusik,0,0.689998,5,1,1
35,Yolanda_King,4,Rich_Brooks,0,0.369428,5,0,0
36,Franco_Dragone,1,Laurence_Fishburne,4,0.128420,5,0,0
37,Abbas_Kiarostami,0,Tom_Izzo,4,0.502881,5,1,0
38,Mark_Leno,3,Brett_Hull,2,0.493055,5,1,0
39,Regina_Ip,0,Mark_Leno,1,0.436445,5,0,0
40,James_Carville,1,Wolfgang_Schneiderhan,2,0.396311,5,0,0
41,Peter_Bacanovic,0,George_Karl,1,0.311931,5,0,0
42,Candie_Kung,3,Jack_Valenti,1,0.388217,5,0,0
43,Amelia_Vega,1,Elisha_Cuthbert,1,0.408244,5,0,0
44,Valentino_Rossi,5,Makhdoom_Amin_Fahim,5,0.514368,5,1,0
45,Yang_Jianli,0,Carolina_Kluft,5,0.204035,5,0,0
46,Norman_Mineta,3,Christian_Olsson,5,0.164391,5,0,0
47,Dany_Heatley,3,Nicolas_Eyzaguirre,2,0.749234,5,1,1
48,Gary_Condit,3,Kathy_Gannon,3,0.338443,5,0,0
49,Lee_Ann_Womack,3,Matt_Anderson,0,0.452164,5,1,0
50,Ellen_MacArthur,3,Edie_Falco,4,0.449045,5,0,0
51,Akhmed_Zakayev,1,Paul_Walker,3,0.517156,5,1,0
52,Abdullah_Gul,5,Andy_Griffith,0,0.450984,5,1,0
53,Edward_Flynn,0,Andrew_Fastow,0,0.447514,5,0,0
54,Andy_Griffith,0,Mary_Carey,4,0.185668,5,0,0
55,Sam_Mendes,0,Mahmoud_Al_Zhar,0,0.352769,5,0,0
56,Tom_McClintock,0,Patricia_Phillips,3,0.332702,5,0,0
57,Lucio_Stanca,1,Kenneth_Reichert,2,0.606568,5,1,1
58,Bernard_Siegel,0,Robin_McLaurin_Williams,3,0.323999,5,0,0
59,Larry_Donald,0,Kim_Clijsters,5,0.206350,5,0,0
60,Sandra_Milo,0,Robert_Ehrlich,0,0.382784,5,0,0
61,Keith_Tyson,1,Uma_Thurman,3,0.408123,5,0,0
62,Ellen_Saracini,0,Condoleezza_Rice,4,0.422337,5,0,0
63,Charles_Ingram,1,Larenz_Tate,2,0.442838,5,0,0
64,Lisa_Ling,0,Elodie_Bouchez,3,0.436472,5,0,0
65,Nuon_Chea,0,Bertie_Ahern,1,0.503730,5,1,0
66,Benedita_da_Silva,1,Will_Young,5,0.409959,5,0,0
67,Kenneth_Carlsen,4,Mahmoud_Al_Zhar,0,0.315349,5,0,0
68,Keanu_Reeves,0,Amr_Moussa,5,0.545953,5,1,0
69,Aaron_Tippin,1,Janet_Napolitano,5,0.351590,5,0,0
70,Fidel_Castro,5,Larry_Coker,2,0.485653,5,1,0
71,Collis_Temple_III,0,Frank_Caliendo,1,0.527849,5,1,0
72,Paul_Gascoigne,4,Viara_Vike-Freiberga,2,0.480083,5,1,0
73,Amber_Tamblyn,5,Alison_Lohman,4,0.551059,5,1,0
74,Natasha_McElhone,1,Chris_Cooper,4,0.159136,5,0,0
