Foto Original A,Foto Original B,Similaridade,Threshold,O Modelo Achou Igual?
carolserioclaro.jpg,carolserioescuro.jpg,0.8480,0.45,👍 SIM
carolserioclaro.jpg,joaoserio.jpg,0.0787,0.45,👎 NÃO
carolserioclaro.jpg,joaosorrindoclaro.jpg,0.0844,0.45,👎 NÃO
carolserioclaro.jpg,joaosorrindoescuro.jpg,0.0885,0.45,👎 NÃO
carolserioclaro.jpg,jonesserio.jpg,0.1170,0.45,👎 NÃO
carolserioclaro.jpg,jonesserioescuro.jpg,0.0223,0.45,👎 NÃO
carolserioclaro.jpg,jonessorrindo.jpg,0.0768,0.45,👎 NÃO
carolserioclaro.jpg,lucasserioclaro.jpg,0.0960,0.45,👎 NÃO
carolserioclaro.jpg,lucasserioescuro.jpg,0.1800,0.45,👎 NÃO
carolserioclaro.jpg,lucassorrindoclaro.jpg,0.0981,0.45,👎 NÃO
carolserioclaro.jpg,mateusserioescuro.JPG,0.0470,0.45,👎 NÃO
carolserioclaro.jpg,mateussorrindoclaro.jpg,-0.0015,0.45,👎 NÃO
carolserioclaro.jpg,paulistaserioclaro.jpg,0.0460,0.45,👎 NÃO
carolserioclaro.jpg,paulistaserioescuro.jpg,0.0281,0.45,👎 NÃO
carolserioclaro.jpg,paulistasorrindoclaro.jpg,0.0372,0.45,👎 NÃO
carolserioclaro.jpg,pauloserioclaro.jpg,0.0435,0.45,👎 NÃO
carolserioclaro.jpg,pauloserioescuro.jpg,0.0216,0.45,👎 NÃO
carolserioclaro.jpg,paulosorrindoclaro.jpg,0.0864,0.45,👎 NÃO
carolserioescuro.jpg,joaoserio.jpg,0.0761,0.45,👎 NÃO
carolserioescuro.jpg,joaosorrindoclaro.jpg,0.0814,0.45,👎 NÃO
carolserioescuro.jpg,joaosorrindoescuro.jpg,0.1410,0.45,👎 NÃO
carolserioescuro.jpg,jonesserio.jpg,0.0718,0.45,👎 NÃO
carolserioescuro.jpg,jonesserioescuro.jpg,-0.0315,0.45,👎 NÃO
carolserioescuro.jpg,jonessorrindo.jpg,0.0335,0.45,👎 NÃO
carolserioescuro.jpg,lucasserioclaro.jpg,0.1098,0.45,👎 NÃO
carolserioescuro.jpg,lucasserioescuro.jpg,0.1635,0.45,👎 NÃO
